city,id,year,1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,3-5,3-6,4-1,4-2,4-3,4-4
江苏省,JSU,2018,1029,138,473,30295,23.33,19.39,26.04,3.19,3.26,138,9,113,138,116,51,2752.6,2029.5,723.1,4969.1
江苏省,JSU,2017,1015,121,420,29118,21.71,18.13,23.69,2.95,2.91,143,5,111,136,116,47,2601.1,1921.4,679.8,5018
江苏省,JSU,2016,1032,111,403,29099,20.46,16.99,22.12,2.52,2.64,144,5,116,131,118,30,2490.5,1849.4,641.2,1493.9
江苏省,JSU,2015,1013,104,364,28841,18.92,15.74,20.4,2.08,2.71,134,5,117,139,118,35,2429,1818.2,610.8,1585.3
江苏省,JSU,2014,999,102,343,28921,17.86,14.97,18.88,2,2.61,135,7,113,138,115,35,2361.8,1784.9,577,1435.7
江苏省,JSU,2013,991,97,331,28815,16.96,14.36,17.42,1.76,2.15,130,6,114,133,111,34,2274.7,1731.1,543.6,1152.9
江苏省,JSU,2012,964,89,321,28888,15.79,13.48,15.52,1.66,2.12,124,9,109,126,100,29,2155.5,1646.5,508.9,1453.4
江苏省,JSU,2011,849,86,308,29659,13.47,12.04,13.56,1.62,2.3,135,8,101,113,99,28,2012.4,1541.5,470.9,1488.1
江苏省,JSU,2010,754,86,284,29095,12.89,11.53,12.25,1.51,2.29,131,10,114,119,98,24,1848.3,1405.1,443.2,1488
浙江省,ZHJ,2019,577,179,509,32145,20.55,18,21.98,2.67,2.26,221,47,91,60,52,8,2426.6,1950.1,476.5,3034.9
浙江省,ZHJ,2018,555,171,473,30883,19.08,16.61,20.15,2.48,2.13,233,40,80,67,49,8,2277,1830.7,446.4,3091.7
浙江省,ZHJ,2017,529,162,438,30189,17.87,15.51,18.77,2.22,1.98,241,41,79,61,43,6,2117.4,1702.9,414.5,3134.2
浙江省,ZHJ,2016,505,152,411,29811,16.82,14.5,17.45,2.04,1.81,238,41,79,63,38,8,2017.5,1634.3,383.2,2975.8
浙江省,ZHJ,2015,485,144,366,29431,15.81,13.58,15.99,1.88,1.69,230,44,79,65,42,7,1992.7,1639,353.7,2971.4
浙江省,ZHJ,2014,444,132,319,28673,14.57,12.47,14.51,1.81,1.49,239,44,93,62,38,5,1900,1576,324.1,2947.5
浙江省,ZHJ,2013,405,129,278,28655,13.83,11.74,13.27,1.68,1.39,214,49,110,69,38,6,1791.1,1491.6,299.5,2330
浙江省,ZHJ,2012,392,122,248,28939,13,10.95,12.13,1.59,1.31,197,47,120,70,43,6,1671,1393.9,277.1,1135.8
浙江省,ZHJ,2011,368,113,230,29207,12.45,10.36,10.93,1.5,1.4,215,51,111,70,50,11,1514.4,1271.1,243.3,729.7
浙江省,ZHJ,2010,354,109,208,28642,12.04,9.94,9.96,1.39,1.45,117,38,66,52,30,7,1344.4,1117.6,226.8,600
安徽省,ANH,2019,770,125,298,24558,13.84,11.35,16.34,1.8,1.66,124,26,115,56,48,11,888.1,632.9,255.3,5843.3
安徽省,ANH,2018,723,113,262,23076,12.68,10.36,14.97,1.65,1.6,136,30,114,52,49,13,854.6,607.3,247.3,5250.5
安徽省,ANH,2017,701,107,251,22635,12.08,9.77,13.81,1.51,1.51,144,29,120,50,40,15,809.2,571.5,237.7,1298.9
