浙江省,ZHJ,2014,444,132,319,1576,324.1,2947.5,14.57,12.47,14.51,438,38,5
浙江省,ZHJ,2013,405,129,278,1491.6,299.5,2330,13.83,11.74,13.27,442,38,6
浙江省,ZHJ,2012,392,122,248,1393.9,277.1,1135.8,13,10.95,12.13,434,43,6
浙江省,ZHJ,2011,368,113,230,1271.1,243.3,729.7,12.45,10.36,10.93,447,50,11
浙江省,ZHJ,2010,354,109,208,1117.6,226.8,600,12.04,9.94,9.96,273,30,7
安徽省,ANH,2019,770,125,298,632.9,255.3,5843.3,13.84,11.35,16.34,321,48,11
安徽省,ANH,2018,723,113,262,607.3,247.3,5250.5,12.68,10.36,14.97,332,49,13
安徽省,ANH,2017,701,107,251,571.5,237.7,1298.9,12.08,9.77,13.81,343,40,15
安徽省,ANH,2016,678,99,236,550.9,231.1,839.6,11.27,9.01,12.63,355,41,8
安徽省,ANH,2015,670,97,230,542.2,221.1,974.3,10.78,8.46,11.93,355,44,8
安徽省,ANH,2014,640,96,215,528,211.9,1016.5,10.37,8.05,11.15,355,43,8
安徽省,ANH,2013,633,92,197,512.7,203.3,944.9,9.86,7.59,10.34,365,42,7
安徽省,ANH,2012,641,91,183,493.7,191.5,974.8,9.21,7.12,9.5,365,41,4
安徽省,ANH,2011,644,88,168,477.5,181.9,953.6,8.47,6.49,8.45,356,42,4
安徽省,ANH,2010,501,85,132,429.2,169.3,920,8.65,6.58,7.73,327,36,3
福建省,FUJ,2019,376,82,199,678.8,162.6,2946.7,9.95,8.51,11.62,201,21,6
福建省,FUJ,2018,369,80,174,692,161,2951.7,9.11,7.87,10.93,203,21,2
福建省,FUJ,2017,360,80,153,664.3,155.1,2949.3,8.4,7.33,10.12,202,19,2
福建省,FUJ,2016,356,79,139,641.9,150.2,505.8,7.97,6.92,9.56,204,17,1
福建省,FUJ,2015,348,78,133,612.6,146.8,541.9,7.8,6.6,9.04,200,18,1
福建省,FUJ,2014,345,78,123,594.3,143,555.7,7.53,6.44,8.57,201,17,1
福建省,FUJ,2013,339,77,116,566.6,136.4,580.8,7.26,6.19,7.99,204,17,1
福建省,FUJ,2012,328,75,106,536.1,130.2,596.6,6.67,5.79,7.11,201,16,1
福建省,FUJ,2011,307,71,93,453.1,126.2,637.8,6.25,5.42,6.25,195,13,1
福建省,FUJ,2010,292,71,81,425.9,120.7,637,5.86,5.04,5.35,176,12,2
江西省,JXI,2019,506,110,176,372,207,4203.4,9.64,8.04,12.04,162,14,3
江西省,JXI,2018,450,106,147,376.4,197.3,4223.7,8.73,7.33,11.09,163,14,3
江西省,JXI,2017,427,104,125,366.9,191.8,4203.7,8.36,7.01,10.41,160,18,2
江西省,JXI,2016,382,101,100,388.8,202.8,1215.4,7.92,6.6,9.55,155,11,2
江西省,JXI,2015,364,101,95,383.7,201.3,945.5,7.68,6.37,8.96,155,15,2
江西省,JXI,2014,371,100,86,381.5,197.7,915,7.46,6.21,8.41,154,14,2
江西省,JXI,2013,359,98,84,380.2,189.8,906.7,7.03,5.88,7.82,151,11,2
江西省,JXI,2012,360,98,83,366.4,180.4,891.8,6.71,5.64,7.21,149,11,3
江西省,JXI,2011,356,97,81,365,170.9,793.8,6.28,5.3,6.44,138,9,2
江西省,JXI,2010,329,96,72,365.6,166.5,780,6.19,5.25,5.84,170,10,5
山东省,SHD,2019,1507,320,679,1624.3,549.5,7395.8,31.53,25.98,34.14,440,84,43
山东省,SHD,2018,1550,290,646,1560.1,512,7364.9,29.04,24.53,32.27,440,80,44
山东省,SHD,2017,1502,263,611,1526.8,486.3,7282.6,26.46,22.76,29.36,409,88,35
山东省,SHD,2016,1250,196,532,1494.4,465.6,7228.8,24.49,21.08,26.84,424,73,21
山东省,SHD,2015,1217,189,494,1464.5,439.9,7331.4,23.71,20.3,25.42,419,71,23
山东省,SHD,2014,1195,179,454,1448.8,411.4,2127.8,23.09,19.58,24.57,424,63,23
山东省,SHD,2013,1158,169,436,1418.1,391.7,1838.2,23.18,19.49,24.01,415,69,25
山东省,SHD,2012,1016,158,360,1368.5,365.6,1367.1,20.05,16.81,19.17,388,70,30
山东省,SHD,2011,974,157,347,1299.6,337.5,1310.7,18.6,15.53,17.1,389,58,26
山东省,SHD,2010,917,149,302,1224.6,316.7,1280,18.52,15.37,15.67,327,34,13
河南省,HEN,2019,1209,317,388,906.6,375.1,9008.1,25.14,19.18,27.89,371,84,13
河南省,HEN,2018,1118,287,371,903.8,361.3,9170.6,23.56,18.04,26.31,365,76,11
河南省,HEN,2017,1003,257,331,883.9,344.4,9182.5,22.03,16.58,24.16,351,81,14
河南省,HEN,2016,985,258,322,882.7,344.6,1133.4,20.67,15.21,22.21,353,62,9
河南省,HEN,2015,951,238,310,864.1,336.6,1144.2,19.86,14.3,20.54,347,64,9
河南省,HEN,2014,877,233,285,855.2,327.2,1157.6,18.93,13.44,19.11,337,57,8
河南省,HEN,2013,879,220,287,826.8,313.4,1157,18.06,12.6,17.65,329,48,6
河南省,HEN,2012,832,201,243,789,293.2,1140,16.76,11.63,15.6,291,50,5
河南省,HEN,2011,797,197,217,744.3,272.2,1105.8,15.67,11.13,13.71,258,39,5
河南省,HEN,2010,794,186,207,698.7,258.7,1060,15.48,11.02,12.14,197,34,5
湖北省,HUB,2019,562,126,310,761.8,331.4,4469.4,15.36,12.85,19.42,203,115,32
湖北省,HUB,2018,561,123,279,732,321.9,4532.2,15.2,12.66,19.09,207,114,33
湖北省,HUB,2017,569,118,261,702.7,316.2,4603.3,14.73,12.21,18.43,213,104,30
湖北省,HUB,2016,551,115,237,660.5,300.5,1020.8,14.17,11.7,17.49,211,102,29
湖北省,HUB,2015,532,109,208,653.1,296.3,1022.7,13.6,11.22,16.51,218,95,29
湖北省,HUB,2014,483,102,169,646.4,286.9,1034.7,12.61,10.39,14.41,218,85,22
湖北省,HUB,2013,444,98,153,642.1,280.7,1037.8,11.72,9.65,12.79,235,80,19
湖北省,HUB,2012,414,95,126,656.5,264.7,1039.1,10.91,9.01,11.57,237,74,20
湖北省,HUB,2011,393,91,111,648.2,254.6,1029.7,10.21,8.53,10.21,250,59,22
湖北省,HUB,2010,394,87,107,608,239.8,1019,9.95,8.37,9.38,159,45,18
湖南省,HUN,2019,875,187,506,631.6,299,5785.4,19.05,14.73,24.05,261,86,23
湖南省,HUN,2018,877,174,454,605.9,292.6,5939.5,18.09,13.94,18.4,247,88,21
湖南省,HUN,2017,773,144,361,581.8,285.4,6039.1,17.3,13.26,17.26,247,74,16
湖南省,HUN,2016,745,141,340,557.1,272.5,1816.6,16.06,12.24,16.15,251,48,14
湖南省,HUN,2015,703,138,300,551.7,267.1,1843.6,15.08,11.24,14.93,243,44,9
湖南省,HUN,2014,612,135,249,546.1,261.8,1492.8,13.34,9.91,13.62,244,32,8
湖南省,HUN,2013,564,133,205,541.7,257.5,1516.9,12.72,9.4,12.57,237,34,5
湖南省,HUN,2012,493,128,161,548.8,248.8,1544.3,11.64,8.65,11.29,231,30,6
湖南省,HUN,2011,486,129,151,546.6,242.9,1151.7,11.26,8.32,10.19,224,31,6
湖南省,HUN,2010,482,126,127,540.5,236.9,1000,11.04,8.18,9.23,210,25,3
广东省,GUD,2019,911,170,501,3850.2,525.6,6407.7,29.11,24.36,35.63,1062,61,13
广东省,GUD,2018,882,167,458,3665.4,505.3,6445.1,27.64,22.92,33.46,1036,60,15
广东省,GUD,2017,844,163,423,3483.5,479.1,6402.4,25.8,21.27,30.77,1029,57,12
广东省,GUD,2016,813,155,385,3353.5,460.6,6336.1,24.32,19.95,28.38,1017,52,13
广东省,GUD,2015,793,149,359,3272.2,439.7,6424.2,22.85,18.68,25.41,1016,49,13
广东省,GUD,2014,760,148,337,3226.1,420.9,6157.1,21.68,17.61,23.35,1001,43,13
广东省,GUD,2013,740,142,326,3089.2,383.8,5706.8,21.03,17.02,21.76,981,42,13
广东省,GUD,2012,727,142,305,3010.6,362.8,5048.4,19.9,15.94,19.95,948,44,11
广东省,GUD,2011,694,141,278,2893.8,340.5,3532.8,18.62,14.85,18.27,951,40,11
广东省,GUD,2010,674,147,255,2685.6,314.5,3500,17.45,13.98,16.79,865,31,12
广西壮族自治区,GXI,2019,385,102,159,444.5,176,4586.6,11.51,9.4,15.24,158,12,3
广西壮族自治区,GXI,2018,365,96,136,421,167.5,4548.2,10.6,8.65,14.04,156,9,3
广西壮族自治区,GXI,2017,350,95,120,396.6,160.2,4616.5,10.11,8.22,13.17,144,13,2
广西壮族自治区,GXI,2016,330,93,97,375.7,155,565.7,9.67,7.78,12.26,141,8,1
广西壮族自治区,GXI,2015,325,91,91,356.7,148.8,572.1,9.16,7.34,11.32,135,7,2
广西壮族自治区,GXI,2014,298,90,82,338.8,143.8,584.7,8.65,6.84,10.4,134,8,2
广西壮族自治区,GXI,2013,295,88,78,328.8,137.8,564.4,8.33,6.52,9.48,128,4,1
广西壮族自治区,GXI,2012,290,86,79,322.7,133.6,555.3,7.8,6.13,8.55,122,5,1
广西壮族自治区,GXI,2011,292,85,76,308.4,128.8,544.1,7.42,5.83,7.65,119,3,1
广西壮族自治区,GXI,2010,285,85,69,290.5,123,530,7.08,5.62,7.02,132,2,1
海南省,HAI,2019,165,22,51,171.5,64.7,684.5,2.39,2.03,3.21,39,10,1
海南省,HAI,2018,158,17,38,162.9,62.9,689.7,2.23,1.87,3,25,9,1
海南省,HAI,2017,153,18,31,149.1,60.4,209.9,2.08,1.73,2.84,26,7,1
海南省,HAI,2016,158,17,30,143.9,57.1,186.2,1.99,1.63,2.65,23,7,1
海南省,HAI,2015,155,17,25,140.7,55.6,193.4,1.9,1.53,2.47,16,6,1
